Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=Manufacturer~String~Manufacturer~100|Field=Part Number~String~Part Number~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~8SoundsUSB-MIC.PrjPcb|ReportField=ProjectFullPath~C:\SVN-S7\Altium\PCBs\8SoundsUSB-MIC\8SoundsUSB-MIC.PrjPcb|ReportField=Title~Bill of Materials For Project [8SoundsUSB-MIC.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~18|ReportField=ReportTime~20:34:44|ReportField=ReportDate~2011-12-08|ReportField=ReportDateTime~2011-12-08 20:34:44|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~M.Bandou|ReportField=CheckedBy~Checked by : S.Choquette|ReportField=CompanyName~|ReportField=CurrentDate~2011-12-08|ReportField=CurrentTime~20:34:43|ReportField=Date~2011-12-05|ReportField=DocumentFullPathAndName~C:\SVN-S7\Altium\PCBs\8SoundsUSB-MIC\8SoundsUSB-MIC.SchDoc|ReportField=DocumentName~8SoundsUSB-MIC.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2011-12-08|ReportField=Organization~|ReportField=Revision~2.0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~8SoundsUSB-MIC|ReportField=DataSourceFileName~8SoundsUSB-MIC.PrjPcb|ReportField=DataSourceFullPath~C:\SVN-S7\Altium\PCBs\8SoundsUSB-MIC\8SoundsUSB-MIC.PrjPcb
C1, C2, C9|Cap|Murata Electronics North America|GRM188R61A105KA61D|3
C3, C4|Cap|AVX Corporation|0603YC101KAT2A|2
C5, C6, C7, C8|Cap|Kemet|C0603C104K8RACTU|4
J1|TS472|||1
J2|RJ-11-MIC|Molex Connector Corporation|95503-6651|1
MK1|Mic2|CUI Inc|CMA-4544PF-W|1
pot|CT-94|Copal Electronics Inc|CT94EW502|1
R1, R5|Res1|Yageo|RC0603JR-072K2L|2
R2|Res1|Yageo|RC0603JR-0768RL|1
R3, R4|Res1|Yageo|RC0603JR-07100KL|2
