"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"Y1","X_TAL","3210.008mil","1825mil","3397.016mil","1825mil","3397.016mil","1825mil","B","180.00","13MHz"
"J2","HEADER-2X10-100mil","184mil","1884.41mil","234mil","2335mil","234mil","1434.41mil","T","0.00","XTAG2IN(PLUG)"
"U18","NC7NZ34","2454.472mil","1709.85mil","2454.472mil","1709.851mil","2484mil","1656.7mil","B","180.00","NC7NZ34"
"U17","NC7NZ34","2255.528mil","1763.512mil","2255.528mil","1763.512mil","2285.056mil","1710.362mil","B","180.00","NC7NZ34"
"J3","HEADER-2X10-100mil_STRAIGHT","539mil","2174mil","489mil","1724mil","489mil","1724mil","T","0.00","XTAG2OUT(SOCKET)"
"U24","LME49726","4356.756mil","1039.174mil","4356.756mil","1039.174mil","4451.244mil","1000.788mil","T","90.00","LME49726MY"
"U23","LME49726","3268.44mil","1035.244mil","3268.441mil","1035.244mil","3362.928mil","996.858mil","T","90.00","LME49726MY"
"U22","LME49726","3810.685mil","1036.308mil","3810.685mil","1036.307mil","3905.174mil","997.922mil","T","90.00","LME49726MY"
"U21","LME49726","2725.803mil","1034.812mil","2725.803mil","1034.811mil","2820.292mil","996.426mil","T","90.00","LME49726MY"
"TP68","TP","2799.622mil","575.164mil","2799.622mil","575.165mil","2799.622mil","575.164mil","T","90.00","TP"
"TP66","TP","2681.512mil","575.164mil","2681.512mil","575.165mil","2681.512mil","575.164mil","T","90.00","TP"
"R99","3-0603","4556mil","575mil","4556mil","575mil","4589.464mil","575mil","T","180.00",""
"R98","3-0603","3444.346mil","575.166mil","3444.346mil","575.165mil","3477.81mil","575.166mil","T","180.00",""
"R93","3-0603","4473.528mil","846.81mil","4473.528mil","846.811mil","4506.992mil","846.81mil","T","180.00",""
"R92","3-0603","3386mil","847.37mil","3386mil","847.37mil","3419.464mil","847.37mil","T","180.00",""
"R91","3-0603","4293.528mil","846.81mil","4293.528mil","846.811mil","4326.992mil","846.81mil","T","180.00",""
"R90","3-0603","4199.277mil","574.606mil","4199.275mil","574.606mil","4165.812mil","574.606mil","T","360.00",""
"R89","3-0603","3206mil","847.37mil","3206mil","847.37mil","3239.464mil","847.37mil","T","180.00",""
"R88","3-0603","3121.512mil","575.166mil","3121.512mil","575.165mil","3088.048mil","575.166mil","T","360.00",""
"R83","3-0603","3994.582mil","575.164mil","3994.582mil","575.165mil","4028.046mil","575.164mil","T","180.00",""
"R82","3-0603","2909.857mil","575.166mil","2909.858mil","575.165mil","2943.322mil","575.166mil","T","180.00",""
"R80","3-0603","2949.228mil","984.614mil","2949.228mil","984.614mil","2949.228mil","1018.078mil","T","270.00",""
"R78","3-0603","2501.276mil","987.645mil","2501.276mil","987.645mil","2501.276mil","1021.11mil","T","270.00",""
"R77","3-0603","3929.306mil","847.37mil","3929.307mil","847.37mil","3962.77mil","847.37mil","T","180.00",""
"R76","3-0603","2850.566mil","847.37mil","2850.567mil","847.37mil","2884.03mil","847.37mil","T","180.00",""
"R75","3-0603","3749.306mil","847.37mil","3749.307mil","847.37mil","3782.77mil","847.37mil","T","180.00",""
"R74","3-0603","3663.875mil","575.164mil","3663.874mil","575.165mil","3630.41mil","575.164mil","T","360.00",""
"R73","3-0603","2670.566mil","847.37mil","2670.567mil","847.37mil","2704.03mil","847.37mil","T","180.00",""
"R72","3-0603","2583.086mil","575.166mil","2583.086mil","575.165mil","2549.622mil","575.166mil","T","360.00",""
"R70","3-0603","2913.796mil","1086.976mil","2913.795mil","1086.976mil","2947.26mil","1086.976mil","T","180.00",""
"R68","3-0603","2534.741mil","1086.306mil","2534.741mil","1086.306mil","2501.276mil","1086.306mil","T","360.00",""
"J9","RJ11","4358.804mil","310mil","4284mil","385mil","4284mil","385mil","T","360.00","RJ-11"
